,Column Names,,,,
Address City,Address City,,,,
Address Country,Address Country,,,,
Address Postal Code,Address Postal Code,,,,
Address State Or Province,Address State Or Province,,,,
Address 1 Address Id,Address 1 Address Id,,,,
Address 1 Address Type Code,Address 1 Address Type Code,,,,
Address 1 City,Address 1 City,,,,
Address 1 Composite,Address 1 Composite,,,,
Address 1 Country,Address 1 Country,,,,
Address 1 County,Address 1 County,,,,
Address 1 Fax,Address 1 Fax,,,,
Address 1 Freight Terms Code,Address 1 Freight Terms Code,,,,
Address 1 Latitude,Address 1 Latitude,,,,
Address 1 Line 1,Address 1 Line 1,,,,
Address 1 Line 2,Address 1 Line 2,,,,
Address 1 Line 3,Address 1 Line 3,,,,
Address 1 Longitude,Address 1 Longitude,,,,
Address 1 Name,Address 1 Name,,,,
Address 1 Postal Code,Address 1 Postal Code,,,,
Address 1 Post Office Box,Address 1 Post Office Box,,,,
Address 1 Primary Contact Name,Address 1 Primary Contact Name,,,,
Address 1 Shipping Method Code,Address 1 Shipping Method Code,,,,
Address 1 State Or Province,Address 1 State Or Province,,,,
Address 1 Telephone 1,Address 1 Telephone 1,,,,
Address 1 Telephone 2,Address 1 Telephone 2,,,,
Address 1 Telephone 3,Address 1 Telephone 3,,,,
Address 1 Ups Zone,Address 1 UPS Zone,,,,
Address 1 Utc Offset,Address 1 UTC Offset,,,,
Address 2 Address Id,Address 2 Address Id,,,,
Address 2 Address Type Code,Address 2 Address Type Code,,,,
Address 2 City,Address 2 City,,,,
Address 2 Composite,Address 2 Composite,,,,
Address 2 Country,Address 2 Country,,,,
Address 2 County,Address 2 County,,,,
Address 2 Fax,Address 2 Fax,,,,
Address 2 Freight Terms Code,Address 2 Freight Terms Code,,,,
Address 2 Latitude,Address 2 Latitude,,,,
Address 2 Line 1,Address 2 Line 1,,,,
Address 2 Line 2,Address 2 Line 2,,,,
Address 2 Line 3,Address 2 Line 3,,,,
Address 2 Longitude,Address 2 Longitude,,,,
Address 2 Name,Address 2 Name,,,,
Address 2 Postal Code,Address 2 Postal Code,,,,
Address 2 Post Office Box,Address 2 Post Office Box,,,,
Address 2 Primary Contact Name,Address 2 Primary Contact Name,,,,
Address 2 Shipping Method Code,Address 2 Shipping Method Code,,,,
Address 2 State Or Province,Address 2 State Or Province,,,,
Address 2 Telephone 1,Address 2 Telephone 1,,,,
Address 2 Telephone 2,Address 2 Telephone 2,,,,
Address 2 Telephone 3,Address 2 Telephone 3,,,,
Address 2 Ups Zone,Address 2 UPS Zone,,,,
Address 2 Utc Offset,Address 2 UTC Offset,,,,
Address 3 Address Id,Address 3 Address Id,,,,
Address 3 Address Type Code,Address 3 Address Type Code,,,,
Address 3 City,Address 3 City,,,,
Address 3 Composite,Address 3 Composite,,,,
Address 3 Country,Address 3 Country,,,,
Address 3 County,Address 3 County,,,,
Address 3 Fax,Address 3 Fax,,,,
Address 3 Freight Terms Code,Address 3 Freight Terms Code,,,,
Address 3 Latitude,Address 3 Latitude,,,,
Address 3 Line 1,Address 3 Line 1,,,,
Address 3 Line 2,Address 3 Line 2,,,,
Address 3 Line 3,Address 3 Line 3,,,,
Address 3 Longitude,Address 3 Longitude,,,,
Address 3 Name,Address 3 Name,,,,
Address 3 Postal Code,Address 3 Postal Code,,,,
Address 3 Post Office Box,Address 3 Post Office Box,,,,
Address 3 Primary Contact Name,Address 3 Primary Contact Name,,,,
Address 3 Shipping Method Code,Address 3 Shipping Method Code,,,,
Address 3 State Or Province,Address 3 State Or Province,,,,
Address 3 Telephone 1,Address 3 Telephone 1,,,,
Address 3 Telephone 2,Address 3 Telephone 2,,,,
Address 3 Telephone 3,Address 3 Telephone 3,,,,
Address 3 Ups Zone,Address 3 UPS Zone,,,,
Address 3 Utc Offset,Address 3 UTC Offset,,,,
Address Book Sync Interval,Address Book Sync Interval,,,,
Address Number,Address Number,,,,
Address Type Code,Address Type Code,,,,
Address Used,Address Used,,,,
Address Used Email Column Number,Address Used Email Column Number,,,,
Admin Control By Pass Consent,Admin Control By Pass Consent,,,,
Administrator Id,Administrator Id,,,,
Administrator Id Entity Type,Administrator Id Entity Type,,,,
Administrator Id Name,Administrator Id Name,,,,
Administrator Id Yomi Name,Administrator Id Yomi Name,,,,
Adobe,Adobe,,,,
Advance Dfind Startup Mode,Advance Dfind StartUp mode,,,,
Advanced Group By,Advanced Group By,,,,
Aging 30,Aging 30,,,,
Aging 30 Base,Aging 30 Base,,,,
Aging 60,Aging 60,,,,
Aging 60 Base,Aging 60 Base,,,,
Aging 90,Aging 90,,,,
Aging 90 Base,Aging 90 Base,,,,
Alias,Alias,,,,
Al Location Type Code,Al Location Type Code,,,,
Allotment Type Code,Allotment Type Code,,,,
Allow Address Booksyncs,Allow Address Booksyncs,,,,
Allow Autoresponse Creation,Allow Autoresponse Creation,,,,
Allow Autounsubscribe,Allow Autounsubscribe,,,,
Allow Autounsubscribe Acknowledgement,Allow Autounsubscribe Acknowledgement,,,,
Allow Client Message Barad,Allow Client Message Barad,,,,
Allow Email Connect Or To Use Credentials,Allow Email Connect Or To Use Credentials,,,,
Allow Email Credentials,Allow Email Credentials,,,,
Allow Entity Only Audit,Allow Entity Only Audit,,,,
Allow Legacy Client Experience,Allow Legacy Client Experience,,,,
Allow Legacy Dialogs Embedding,Allow Legacy Dialogs Embedding,,,,
Allow Marketing Email Execution,Allow Marketing Email Execution,,,,
Allow Offline Scheduled Syncs,Allow Offline ScheduleD syncs,,,,
Allow Outlook Scheduled Syncs,Allow Outlook Scheduled syncs,,,,
Allow Unresolved Parties On Email Send,Allow Unresolved Parties On Email Send,,,,
Allow User Form Mode Preference,Allow User Form Mode Preference,,,,
Allow Users See App Download Message,Allow Users See App Download Message,,,,
Allow Web Excel Export,Allow Web Excel Export,,,,
Am Designator,Am Designator,,,,
Amount,Amount,,,,
Amount Base,Amount Base,,,,
Amount Data Type,Amount Data Type,,,,
Ancestor Form Id,Ancestor Form Id,,,,
Ancestor Form Id Entity Type,Ancestor Form Id Entity Type,,,,
Ancestor Form Id Name,Ancestor Form Id Name,,,,
Anchor Offset,Anchor Offset,,,,
Anniversary,Anniversary,,,,
Annotation Id,Annotation Id,,,,
Annual Income,Annual Income,,,,
Annual Income Base,Annual Income Base,,,,
Anonymous Link,Anonymous Link,,,,
Anonymous Visitor Id,Anonymous Visitor Id,,,,
App Designer Experience Enabled,App Designer Experience Enabled,,,,
Application Id,Application Id,,,,
Application Id Uri,Application Id Uri,,,,
App Module Id,App Module Id,,,,
App Module Id Entity Type,App Module Id Entity Type,,,,
App Module Id Name,App Module Id Name,,,,
App Module Id Unique,App Module Id Unique,,,,
App Module Role Id,App Module Role Id,,,,
App Module Role Id Unique,App Module Role Id Unique,,,,
App Module Version,App Module Version,,,,
App Module Xml Managed,App Module Xml Managed,,,,
Appointment Rich Editor Experience,Appointment Rich Editor Experience,,,,
App Open Uri,App Open Uri,,,,
App Version,App Version,,,,
Article Public Number,Article Public Number,,,,
Article Xml,Article Xml,,,,
Assistant Name,Assistant Name,,,,
Assistant Phone,Assistant Phone,,,,
Associated Connection Role Id,Associated Connection Role Id,,,,
Async Autodelete,Async Autodelete,,,,
Attached Document Url,Attached Document Url,,,,
Attachment Content Id,Attachment Content Id,,,,
Attachment Count,Attachment Count,,,,
Attachment Errors,Attachment Errors,,,,
Attachment Id,Attachment Id,,,,
Attachment Id Entity Type,Attachment Id Entity Type,,,,
Attachment Number,Attachment Number,,,,
Attachment Open Count,Attachment Open Count,,,,
Attribute Logical Name,Attribute Logical Name,,,,
Attribute Map Id,Attribute Map Id,,,,
Attribute Map Id Unique,Attribute Map Id Unique,,,,
Attribute Name,Attribute Name,,,,
Attribute Type,Attribute Type,,,,
Attribute Type Code,Attribute Type Code,,,,
Authorization References,Authorization References,,,,
Author Name,Author Name,,,,
Autoapply Default On Case Create,Autoapply Default On Case Create,,,,
Autoapply Default On Case Update,Autoapply Default On Case Update,,,,
Autoapply Sla,Autoapply Sla,,,,
Autocreate Contact On Promote,Autocreate Contact On Promote,,,,
Automation Id,Automation Id,,,,
Average Total Duration,Average Total Duration,,,,
Azure Active Directory Object Id,Azure Active Directory Object Id,,,,
Azure Scheduler Job Collection Name,Azure Scheduler Job Collection Name,,,,
Background Color,Background Color,,,,
Basea Mount,Basea Mount,,,,
Basea Mount Base,Basea Mount Base,,,,
Base Conversation Index Hash,Base Conversation Index Hash,,,,
Base Currency Id,Base Currency Id,,,,
Base Currency Id Entity Type,Base Currency Id Entity Type,,,,
Base Currency Id Name,Base Currency Id Name,,,,
Base Currency Precision,Base Currency Precision,,,,
Base Currency Symbol,Base Currency Symbol,,,,
Base Iso Currency Code,Base Iso Currency Code,,,,
Base Uom,Base Uom,,,,
Base Uom Entity Type,Base Uom Entity Type,,,,
Base Uom Name,Base Uom Name,,,,
Bcc,BCC,,,,
Begin Date,Begin Date,,,,
Bias,Bias,,,,
Billed Service Units,Billed Service Units,,,,
Billing Account Id,Billing Account Id,,,,
Billing Account Id Entity Type,Billing Account Id Entity Type,,,,
Billing Account Id Name,Billing Account Id Name,,,,
Billing Account Id Yomi Name,Billing Account Id Yomi Name,,,,
Billing Code,Billing Code,,,,
Billing Contact Id,Billing Contact Id,,,,
Billing Contact Id Entity Type,Billing Contact Id Entity Type,,,,
Billing Contact Id Name,Billing Contact Id Name,,,,
Billing Contact Id Yomi Name,Billing Contact Id Yomi Name,,,,
Billing Customer Id,Billing Customer Id,,,,
Billing Customer Id Entity Type,Billing Customer Id Entity Type,,,,
Billing Customer Id Name,Billing Customer Id Name,,,,
Billing Customer Id Type,Billing Customer Id Type,,,,
Billing Customer Id Yomi Name,Billing Customer Id Yomi Name,,,,
Billing End On,Billing End On,,,,
Billing Frequency Code,Billing Frequency Code,,,,
Billing Start On,Billing Start On,,,,
Bill To Address Id,Bill To Address Id,,,,
Bill To City,Bill To City,,,,
Bill To Composite,Bill To Composite,,,,
Bill To Contact Name,Bill To Contact Name,,,,
Bill To Country,Bill To Country,,,,
Bill To Fax,Bill To Fax,,,,
Bill To Line 1,Bill To Line 1,,,,
Bill To Line 2,Bill To Line 2,,,,
Bill To Line 3,Bill To Line 3,,,,
Bill To Name,Bill To Name,,,,
Bill To Postal Code,Bill To Postal Code,,,,
Bill To State Or Province,Bill To State Or Province,,,,
Bill To Telephone,Bill To Telephone,,,,
Bill To Address,Bill To Address,,,,
Bill To Address Entity Type,Bill To Address Entity Type,,,,
Bill To Address Name,Bill To Address Name,,,,
Bing Maps Api Key,Bing Maps Api Key,,,,
Birth Date,Birth Date,,,,
Blocked,Blocked,,,,
Blocked Attachments,Blocked Attachments,,,,
Blocked Profile,Blocked Profile,,,,
Body,Body,,,,
Bounce,Bounce,,,,
Bounce Scount,Bounce Scount,,,,
Bound Dash Board Default Card Expanded,Bound Dash Board Default Card Expanded,,,,
Bpf Duration,Bpf Duration,,,,
Bpf Jt Pcaid,Bpf Jt Pcaid,,,,
Bpf Jt Pcaid Entity Type,Bpf Jt Pcaid Entity Type,,,,
Bpf Jt Pcaid Name,Bpf Jt Pcaid Name,,,,
Bpf Lead Id,Bpf Lead Id,,,,
Bpf Lead Id Entity Type,Bpf Lead Id Entity Type,,,,
Bpf Lead Id Name,Bpf Lead Id Name,,,,
Bpf Lead Id Yomi Name,Bpf Lead Id Yomi Name,,,,
Bpf Name,Bpf Name,,,,
Bpf Opportunity Id,Bpf Opportunity Id,,,,
Bpf Opportunity Id Entity Type,Bpf Opportunity Id Entity Type,,,,
Bpf Opportunity Id Name,Bpf Opportunity Id Name,,,,
Bpf Product Price Level Id,Bpf Product Price Level Id,,,,
Bpf Product Price Level Id Entity Type,Bpf Product Price Level Id Entity Type,,,,
Bpf Product Price Level Id Name,Bpf Product Price Level Id Name,,,,
Bpf Quote Id,Bpf Quote Id,,,,
Bpf Quote Id Entity Type,Bpf Quote Id Entity Type,,,,
Bpf Quote Id Name,Bpf Quote Id Name,,,,
Bpf Sales Order Id,Bpf Sales Order Id,,,,
Bpf Sales Order Id Entity Type,Bpf Sales Order Id Entity Type,,,,
Bpf Sales Order Id Name,Bpf Sales Order Id Name,,,,
Br Biphed,Br Biphed,,,,
Br Bodylab,Br Bodylab,,,,
Br Bremenn,Br Bremenn,,,,
Br Business Unit,Br Business Unit,,,,
Br Cart Abandon,Br Cart Abandon,,,,
Br Cart Abandon Date,Br Cart Abandon Date,,,,
Br Customer Id,Br Customer Id,,,,
Br Customer Id Entity Type,Br Customer Id Entity Type,,,,
Br Customer Id Id Type,Br Customer Id Id Type,,,,
Br Customer Id Name,Br Customer Id Name,,,,
Br Customer Id Yomi Name,Br Customer Id Yomi Name,,,,
Br Expired Brand,Br Expired Brand,,,,
Br Ibs,Br Ibs,,,,
Br Invalid Email Status,Br Invalid Email Status,,,,
Br Kleinbecker,Br Kleinbecker,,,,
Br My Free Diet,Br My Free Diet,,,,
Br Need By Date,Br Need By Date,,,,
Br News Letter,Br News Letter,,,,
Br Novex,Br Novex,,,,
Br Priority,Br Priority,,,,
Br Relacore,Br Relacore,,,,
Br Sensa Clinic Al,Br Sensa Clinic Al,,,,
Br Sero Vital,Br Sero Vital,,,,
Br Settle Ddate,Br Settle Ddate,,,,
Br Thincare,Br Thincare,,,,
Br Web Resource,Br Web Resource,,,,
Br Web Resource Entity Type,Br Web Resource Entity Type,,,,
Br Web Resource Name,Br Web Resource Name,,,,
Br Web Resources Ource Yomi Name,Br Web Resources Ource Yomi Name,,,,
Br Web Site Name,Br Web Site Name,,,,
Br Web Store,Br Web Store,,,,
Br Web Story Point S,Br Web Story Point S,,,,
Br Web Type,Br Web Type,,,,
Br Zoller,Br Zoller,,,,
Browser,Browser,,,,
Budget Amount,Budget Amount,,,,
Budget Amount Base,Budget Amount Base,,,,
Budget Ed Cost,Budget Ed Cost,,,,
Budget Ed Cost Base,Budget Ed Cost Base,,,,
Budget Status,Budget Status,,,,
Bulk Operation Prefix,Bulk Operation Prefix,,,,
Bulk Text Message Id,Bulk Text Message Id,,,,
Bulk Text Message Id,Bulk Text Message Id,,,,
Business 2,Business 2,,,,
Business Category Jt,Business Category Jt,,,,
Business Closure Calendar Id,Business Closure Calendar Id,,,,
Business Process Flow In Stance Id,Business Process Flow In Stance Id,,,,
Business Process Type,Business Process Type,,,,
Business Type Code,Business Type Code,,,,
Business Unit Id,Business Unit Id,,,,
Business Unit Id Entity Type,Business Unit Id Entity Type,,,,
Business Unit Id Name,Business Unit Id Name,,,,
Bypass Consent,Bypass Consent,,,,
Calendar Id,Calendar Id,,,,
Calendar Id Entity Type,Calendar Id Entity Type,,,,
Calendar Type,Calendar Type,,,,
Callback,Callback,,,,
Caltype,Caltype,,,,
Campaign Activity Id,Campaign Activity Id,,,,
Campaign Activity Id Entity Type,Campaign Activity Id Entity Type,,,,
Campaign Activity Item Id,Campaign Activity Item Id,,,,
Campaign Id,Campaign Id,,,,
Campaign Id Entity Type,Campaign Id Entity Type,,,,
Campaign Id Name,Campaign Id Name,,,,
Campaign Item Id,Campaign Item Id,,,,
Campaign Prefix,Campaign Prefix,,,,
Can Be Basic,Can Be Basic,,,,
Can Be Deep,Can Be Deep,,,,
Can Be Deleted,Can Be Deleted,,,,
Can Be Entity Reference,Can Be Entity Reference,,,,
Can Be Followed,Can Be Followed,,,,
Can Be Global,Can Be Global,,,,
Can Be Local,Can Be Local,,,,
Can Be Parent Entity Reference,Can Be Parent Entity Reference,,,,
Cancel On,Cancel On,,,,
Can Create,Can Create,,,,
Can Read,Can Read,,,,
Can Update,Can Update,,,,
Canvas App Id,Canvas App Id,,,,
Canvas App Row Id,Canvas App Row Id,,,,
Capture Proposal Feedback,Capture Proposal Feedback,,,,
Card Type,Card Type,,,,
Card Type Id,Card Type Id,,,,
Card Type Id Entity Type,Card Type Id Entity Type,,,,
Card Type Id Name,Card Type Id Name,,,,
Cascade Status Update,Cascade Status Update,,,,
Case Origin Code,Case Origin Code,,,,
Case Prefix,Case Prefix,,,,
Case Type Code,Case Type Code,,,,
Category,Category,,,,
Category Id,Category Id,,,,
Category Number,Category Number,,,,
Category Prefix,Category Prefix,,,,
Cc,Cc,,,,
Cdi Account Field,CDI Account Field,,,,
Cdi Account Field Length,CDI Account Field Length,,,,
Cdi Account Id,CDI Account Id,,,,
Cdi Account Id Entity Type,CDI Account Id Entity Type,,,,
Cdi Account Id Name,CDI Account Id Name,,,,
Cdi Account Id Yomi Name,CDI Account Id Yomi Name,,,,
Cdi Account Score,CDI Account Score,,,,
Cdi Action Nodeid,CDI Action Nodeid,,,,
Cdi Active Instances,CDI Active Instances,,,,
Cdi Actual Dtartdatetime,CDI Actual Dtartdatetime,,,,
Cdi Actual Duration Minutes,CDI Actual Duration Minutes,,,,
Cdi Address,CDI Address,,,,
Cdi Address 1,CDI Address 1,,,,
Cdi Address 2,CDI Address 2,,,,
Cdi Add To Marketing List,CDI Add To Marketing List,,,,
Cdi Adobe,CDI Adobe,,,,
Cdi Age,CDI Age,,,,
Cdi Alias,CDI Alias,,,,
Cdi Allow Text Messages,CDI Allow Text Messages,,,,
Cdi Anonymous Visitor,CDI Anonymous Visitor,,,,
Cdi Anonymous Visitor Entity Type,CDI Anonymous Visitor Entity Type,,,,
Cdi Anonymous Visitor Id,CDI Anonymous Visitor Id,,,,
Cdi Anonymous Visitorid Entity Type,CDI Anonymous Visitorid Entity Type,,,,
Cdi Anonymous Visitorid Name,CDI Anonymous Visitorid Name,,,,
Cdi Anonymous Visitor Name,CDI Anonymous Visitor Name,,,,
Cdi Approval Status,CDI Approval Status,,,,
Cdi Atten Dance Rate,CDI Atten Dance Rate,,,,
Cdi Automation Id,CDI Automation id,,,,
Cdi Automation Id Entity Type,CDI Automation id Entity Type,,,,
Cdi Automation Id Name,CDI Automation id Name,,,,
Cdi Average Atten Dance Duration Minutes,CDI Average Atten Dance Duration Minutes,,,,
Cdi Average Attend Ee Interest Rating,CDI Average Attend Ee Interest Rating,,,,
Cdi Average Attentiveness,CDI Average Attentiveness,,,,
Cdi Backup Owner,CDI Backup Owner,,,,
Cdi Backup Owner Entity Type,CDI Backup Owner Entity Type,,,,
Cdi Backup Owner Name,CDI Backup Owner Name,,,,
Cdi Backup Owner Yomi Name,CDI Backup Owner Yomi Name,,,,
Cdi Bar Code,CDI Bar Code,,,,
Cdi Bar Code Check Intype,CDI Bar Code Check Intype,,,,
Cdi Bar Code Status,CDI Bar Code Status,,,,
Cdi Base Payment Fee,CDI Base Payment Fee,,,,
Cdi Base Payment Fee Base,CDI Base Payment Fee Base,,,,
Cdi Bounce,CDI Bounce,,,,
Cdi Bounce Scount,CDI Bounce Scount,,,,
Cdi Browser,CDI Browser,,,,
Cdi Bulk Text Message Id,CDI Bulk Text Message Id,,,,
Cdi Bulk Text Message Id Entity Type,CDI Bulk Text Message Id Entity Type,,,,
Cdi Bulk Text Message Id Name,CDI Bulk Text Message Id Name,,,,
Cdi Bulk Text Message Id,CDI Bulk Text Message Id,,,,
Cdi Bulk Text Message Id Entity Type,CDI Bulk Text Message Id Entity Type,,,,
Cdi Bulk Text Message Id Name,CDI Bulk Text Message Id Name,,,,
Cdi Campaign,CDI Campaign,,,,
Cdi Campaign Entity Type,CDI Campaign Entity Type,,,,
Cdi Campaign Code,CDI Campaign Code,,,,
Cdi Campaign Id,CDI Campaign Id,,,,
Cdi Campaign Id Entity Type,CDI Campaign Id Entity Type,,,,
Cdi Campaign Id Name,CDI Campaign Id Name,,,,
Cdi Campaign Name,CDI Campaign Name,,,,
Cdi Capacity,CDI Capacity,,,,
Cdi Category Id,CDI Category Id,,,,
Cdi Category Id Entity Type,CDI Category Id Entity Type,,,,
Cdi Category Id Name,CDI Category Id Name,,,,
Cdi Chosen Strategy,CDI Chosen Strategy,,,,
Cdi City,CDI City,,,,
Cdi Clicked Registration Link,CDI Clicked Registration Link,,,,
Cdi Clicks,CDI Clicks,,,,
Cdi Clicks Date,CDI Clicks Date,,,,
Cdi Clicks State,CDI Clicks State,,,,
Cdi Click Scount,CDI Click Scount,,,,
Cdi Closed,CDI Closed,,,,
Cdi Company,CDI Company,,,,
Cdi Completed Instances,CDI Completed Instances,,,,
Cdi Connect Or Name,CDI Connect Or Name,,,,
Cdi Contact,CDI Contact,,,,
Cdi Contact Entity Type,CDI Contact Entity Type,,,,
Cdi Contact Field,CDI Contact Field,,,,
Cdi Contact Field Length,CDI Contact Field Length,,,,
Cdi Contact Id,CDI Contact Id,,,,
Cdi Contact Id Entity Type,CDI Contact Id Entity Type,,,,
Cdi Contact Id Name,CDI Contact Id Name,,,,
Cdi Contact Id Yomi Name,CDI Contact Id Yomi Name,,,,
Cdi Contact Name,CDI Contact Name,,,,
Cdi Contact Yomi Name,CDI Contact Yomi Name,,,,
Cdi Contains Social Profile,CDI Contains Social Profile,,,,
Cdi Country,CDI Country,,,,
Cdi Create Event Participation Records,CDI Create Event Participation Records,,,,
Cdi Create New Visitoras,CDI Create New Visitoras,,,,
Cdi Custom Field 1,CDI Custom Field 1,,,,
Cdi Custom Field 10,CDI Custom Field 10,,,,
Cdi Custom Field 10 Response,CDI Custom Field 10 Response,,,,
Cdi Custom Field 1 Response,CDI Custom Field 1 Response,,,,
Cdi Custom Field 2,CDI Custom Field 2,,,,
Cdi Custom Field 2 Response,CDI Custom Field 2 Response,,,,
Cdi Custom Field 3,CDI Custom Field 3,,,,
Cdi Custom Field 3 Response,CDI Custom Field 3 Response,,,,
Cdi Custom Field 4,CDI Custom Field 4,,,,
Cdi Custom Field 4 Response,CDI Custom Field 4 Response,,,,
Cdi Custom Field 5,CDI Custom Field 5,,,,
Cdi Custom Field 5 Response,CDI Custom Field 5 Response,,,,
Cdi Custom Field 6,CDI Custom Field 6,,,,
Cdi Custom Field 6 Response,CDI Custom Field 6 Response,,,,
Cdi Custom Field 7,CDI Custom Field 7,,,,
Cdi Custom Field 7 Response,CDI Custom Field 7 Response,,,,
Cdi Custom Field 8,CDI Custom Field 8,,,,
Cdi Custom Field 8 Response,CDI Custom Field 8 Response,,,,
Cdi Custom Field 9,CDI Custom Field 9,,,,
Cdi Custom Field 9 Response,CDI Custom Field 9 Response,,,,
Cdi Delivered,CDI Delivered,,,,
Cdi Deliveries Count,CDI Deliveries Count,,,,
Cdi Delivery Time,CDI Delivery Time,,,,
Cdi Delta,CDI Delta,,,,
Cdi Description,CDI Description,,,,
Cdi Details,CDI Details,,,,
Cdi Device,CDI Device,,,,
Cdi Domain Id,CDI Domain Id,,,,
Cdi Domain Id Entity Type,CDI Domain Id Entity Type,,,,
Cdi Domain Id Name,CDI Domain Id Name,,,,
Cdi Duration,CDI Duration,,,,
Cdi Editor Type,CDI Editor Type,,,,
Cdi Email,CDI Email,,,,
Cdi Email Address,CDI Email Address,,,,
Cdi Email Address Field,CDI Email Address Field,,,,
Cdi Email Client,CDI Email Client,,,,
Cdi Email Client Preview Data,CDI Email Client Preview Data,,,,
Cdi Email C Name Id,CDI Email C Name Id,,,,
Cdi Email C Name Id Entity Type,CDI Email C Name Id Entity Type,,,,
Cdi Email C Name Id Name,CDI Email C Name Id Name,,,,
Cdi Email Event Id,CDI Email Event Id,,,,
Cdi Email Notification Address,CDI Email Notification Address,,,,
Cdi Email Send Id,CDI Email Send Id,,,,
Cdi Email Send Id Entity Type,CDI Email Send Id Entity Type,,,,
Cdi Email Send Id Name,CDI Email Send Id Name,,,,
Cdi Email Statistics Id,CDI Email Statistics Id,,,,
Cdi Email Status,CDI Email Status,,,,
Cdi Email Template Id,CDI Email Template Id,,,,
Cdi Email Template Id Entity Type,CDI Email Template Id Entity Type,,,,
Cdi Email Template Id 2,CDI Email Template Id 2,,,,
Cdi Email Template Id 2 Entity Type,CDI Email Template Id 2 Entity Type,,,,
Cdi Email Template Id 2 Name,CDI Email Template Id 2 Name,,,,
Cdi Email Template Id Name,CDI Email Template Id Name,,,,
Cdi Email Test,CDI Email Test,,,,
Cdi Email Test 1,CDI Email Test 1,,,,
Cdi Ended On,CDI Ended On,,,,
Cdi Entry Page,CDI Entry Page,,,,
Cdi Error Message,CDI Error Message,,,,
Cdi Error Uri,CDI Error Uri,,,,
Cdi Event,CDI Event,,,,
Cdi Event Entity Type,CDI Event Entity Type,,,,
Cdi Eventbrite Fee,CDI Eventbrite Fee,,,,
Cdi Eventbrite Fee Base,CDI Eventbrite Fee Base,,,,
Cdi Event Id,CDI Event Id,,,,
Cdi Event Name,CDI Event Name,,,,
Cdi Event Participation Id,CDI Event Participation Id,,,,
Cdi Events List Id,CDI Events List Id,,,,
Cdi Events List Id Entity Type,CDI Events List Id Entity Type,,,,
Cdi Events List Id Name,CDI Events List Id Name,,,,
